2024-08-16 16:34:48,251 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723806288.2125 | End Time: 1723806288.2518 | Execution Time: 39.2904 ms |
2024-08-16 16:35:03,366 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723806303.3041 | End Time: 1723806303.3668 | Execution Time: 62.7351 ms |
2024-08-16 16:35:14,537 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723806314.4570 | End Time: 1723806314.5378 | Execution Time: 80.8051 ms |
2024-08-16 16:35:16,556 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723806316.5259 | End Time: 1723806316.5567 | Execution Time: 30.8385 ms |
2024-08-16 16:35:32,429 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723806332.3547 | End Time: 1723806332.4294 | Execution Time: 74.6617 ms |
2024-08-16 16:36:53,213 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723806413.0908 | End Time: 1723806413.2138 | Execution Time: 122.9146 ms |
2024-08-16 16:37:00,901 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723806420.8448 | End Time: 1723806420.9018 | Execution Time: 56.9484 ms |
2024-08-16 16:37:06,102 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723806426.0345 | End Time: 1723806426.1020 | Execution Time: 67.5199 ms |
2024-08-16 16:37:08,219 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723806428.1908 | End Time: 1723806428.2198 | Execution Time: 28.9564 ms |
2024-08-16 16:37:17,443 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723806437.3608 | End Time: 1723806437.4437 | Execution Time: 82.8605 ms |
2024-08-16 16:37:19,034 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723806439.0080 | End Time: 1723806439.0346 | Execution Time: 26.6254 ms |
2024-08-16 16:39:16,736 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723806556.7031 | End Time: 1723806556.7363 | Execution Time: 33.1616 ms |
2024-08-16 17:06:21,920 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723808181.8473 | End Time: 1723808181.9207 | Execution Time: 73.3793 ms |
2024-08-16 17:06:28,964 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723808188.9363 | End Time: 1723808188.9645 | Execution Time: 28.1150 ms |
2024-08-16 17:06:34,255 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723808194.1871 | End Time: 1723808194.2558 | Execution Time: 68.6891 ms |
2024-08-16 17:06:36,420 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723808196.3834 | End Time: 1723808196.4204 | Execution Time: 37.0548 ms |
2024-08-16 17:07:25,705 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723808245.7056 | End Time: 1723808245.7056 | Execution Time: 0.0000 ms |
2024-08-16 17:08:10,281 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723808290.2820 | End Time: 1723808290.2820 | Execution Time: 0.0000 ms |
2024-08-16 17:08:13,577 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723808293.4800 | End Time: 1723808293.5771 | Execution Time: 97.1029 ms |
2024-08-16 17:08:18,781 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723808298.7101 | End Time: 1723808298.7814 | Execution Time: 71.2812 ms |
2024-08-16 17:08:20,474 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723808300.4300 | End Time: 1723808300.4742 | Execution Time: 44.1935 ms |
2024-08-16 17:08:31,913 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723808311.8367 | End Time: 1723808311.9133 | Execution Time: 76.5679 ms |
2024-08-16 17:08:42,816 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723808322.7318 | End Time: 1723808322.8162 | Execution Time: 84.3451 ms |
2024-08-16 17:08:44,436 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723808324.3944 | End Time: 1723808324.4365 | Execution Time: 42.1479 ms |
2024-08-16 17:08:50,527 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723808330.4591 | End Time: 1723808330.5274 | Execution Time: 68.2886 ms |
2024-08-16 17:09:01,159 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723808341.0900 | End Time: 1723808341.1592 | Execution Time: 69.1743 ms |
2024-08-16 17:09:06,445 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723808346.4092 | End Time: 1723808346.4452 | Execution Time: 35.9302 ms |
2024-08-16 17:09:11,341 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723808351.2675 | End Time: 1723808351.3417 | Execution Time: 74.1856 ms |
2024-08-16 17:09:14,178 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723808354.1406 | End Time: 1723808354.1787 | Execution Time: 38.1401 ms |
2024-08-16 17:47:54,907 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723810674.7650 | End Time: 1723810674.9076 | Execution Time: 142.6272 ms |
2024-08-16 17:48:17,015 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723810696.8933 | End Time: 1723810697.0154 | Execution Time: 122.0307 ms |
2024-08-16 17:49:24,405 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723810764.2618 | End Time: 1723810764.4057 | Execution Time: 143.9204 ms |
2024-08-16 17:49:31,010 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723810770.9019 | End Time: 1723810771.0105 | Execution Time: 108.5379 ms |
2024-08-16 18:03:41,147 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723811620.9452 | End Time: 1723811621.1479 | Execution Time: 202.7316 ms |
2024-08-16 18:03:44,930 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723811624.8761 | End Time: 1723811624.9309 | Execution Time: 54.7979 ms |
2024-08-16 18:23:52,277 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723812832.1521 | End Time: 1723812832.2777 | Execution Time: 125.5240 ms |
